ID	institucion	acreditacion	carrera	area	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel	IE_MAT	tipo_institucion	CLASIFICACION_INSTITUCION_NIVEL_0	CLASIFICACION_INSTITUCION_NIVEL_1	CLASIFICACION_INSTITUCION_NIVEL_3
1219	CFT Magnos	No	Administración de Empresas mención Marketing y Ventas	Administración y Comercio	0,43801652892562	6,3	0,864197530864197	s/i	888000	CFT MAGNOS	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
122	Universidad de Chile	7 años	Bioquímica	Ciencias Básicas	0,188679245283019	15,9	0,810344827586207	s/i	2998800	UNIVERSIDAD DE CHILE	UNIVERSIDAD ESTATAL	UNIVERSIDAD	UNIVERSIDAD CRUCH	UNIVERSIDAD ESTATAL
1220	CFT Manpower	No	Administración de Empresas mención Marketing y Ventas o Comercio Exterior o Gestión de Capital Humano	Administración y Comercio	0,406779661016949	7,3	0,825396825396825	s/i	1085000	CFT MANPOWER	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1221	CFT Santo Tomás	4 años	Técnico en Administración	Administración y Comercio	0,345120226308345	5,6	0,584615384615385	s/i	957839	CFT SANTO TOMAS	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1222	CFT Simón Bolívar	No	Administración de Empresas	Administración y Comercio	0,686635944700461	7,5	0,795180722891566	De $400 mil a $600 mil	495000	CFT SIMON BOLIVAR	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1225	IP Duoc UC	7 años	Administración de Recursos Humanos	Administración y Comercio	0,221411192214112	7,0	0,854961832061069	De $400 mil a $600 mil	1165103	IP DUOC UC	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1226	CFT DUOC UC	6 años	Administración de Recursos Humanos	Administración y Comercio	0,160664819944598	6,2	0,888888888888889	De $400 mil a $600 mil	1191002	CFT DUOC UC	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1228	IP CIISA	No	Construcción y Administración de Redes Analógicas y Digitales	Tecnología	0,523364485981308	8,2	0,936170212765957	s/i	1158229	IP CIISA	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1229	IP Dr. Virginio Gómez G.	4 años	Técnico en Redes de Computadores	Tecnología	0,297297297297297	s/i	0,657894736842105	s/i	1092000	IP DR. VIRGINIO GOMEZ G.	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
123	Universidad de Concepción	6 años	Bioquímica	Ciencias Básicas	0,150943396226415	15,5	0,8	s/i	2580000	UNIVERSIDAD DE CONCEPCION	UNIVERSIDAD PARTICULAR CON APORTE	UNIVERSIDAD	UNIVERSIDAD CRUCH	UNIVERSIDADES PARTICULARES CON APORTE
1230	IP Duoc UC	7 años	Administración de Redes Computacionales	Tecnología	0,310173697270472	8,2	0,825287356321839	De $400 mil a $600 mil	1253028	IP DUOC UC	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1231	IP ESUCOMEX	2 años	Soporte en Redes Computacionales	Tecnología	0,783333333333333	9,3	0,8	s/i	878250	IP ESUCOMEX	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1232	CFT DUOC UC	6 años	Administración de Redes Computacionales	Tecnología	0,324742268041237	6,7	0,949152542372881	s/i	1320000	CFT DUOC UC	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1233	CFT INACAP	6 años	Soporte Computacional	Tecnología	0,354166666666667	7,5	0,743589743589744	De $400 mil a $600 mil	1150159	CFT INACAP	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1234	CFT Instituto Tecnológico de Chile I.T.C.	3 años	Gestión de Soporte y Redes	Tecnología	0,402439024390244	s/i	0,930693069306931	s/i	800128	CFT INSTITUTO TECNOLOGICO DE CHILE - I.T.C.	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1235	CFT La Araucana	No	Administración y Soporte de Redes	Tecnología	0,542372881355932	9,3	0,936842105263158	s/i	939899	CFT LA ARAUCANA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1236	CFT Lota-Arauco	4 años	Administración de Redes y Soporte Computacional	Tecnología	0,393258426966292	6,7	0,597014925373134	Menor a $400 mil	1037841	CFT LOTA-ARAUCO	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1237	IP Duoc UC	7 años	Administración de Ventas	Administración y Comercio	0,333333333333333	6,9	0,878787878787879	s/i	1183069	IP DUOC UC	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1238	IP Los Leones	4 años	Administración de Negocios y Ventas	Administración y Comercio	0,397727272727273	6,5	0,8125	s/i	948905	IP LOS LEONES	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
124	Universidad de Santiago de Chile	6 años	Bioquímica y Licenciatura en Bioquímica	Ciencias Básicas	0,133333333333333	14,2	0,742857142857143	De $400 mil a $600 mil	2419120	UNIVERSIDAD DE SANTIAGO DE CHILE	UNIVERSIDAD ESTATAL	UNIVERSIDAD	UNIVERSIDAD CRUCH	UNIVERSIDAD ESTATAL
1240	IP Duoc UC	7 años	Administración Financiera	Administración y Comercio	0,235119047619048	6,9	0,829145728643216	De $400 mil a $600 mil	1156750	IP DUOC UC	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1241	IP Instituto de Estudios Bancarios Guillermo Subercaseaux	4 años	Técnico en Gestión de Servicios Financieros	Administración y Comercio	0,365957446808511	6,4	0,838235294117647	De $600 mil a $800 mil	1250000	IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1242	CFT DUOC UC	6 años	Administración Financiera	Administración y Comercio	0,233333333333333	6,3	0,912280701754386	De $600 mil a $800 mil	1200000	CFT DUOC UC	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
125	Universidad Nacional Andrés Bello	5 años	Bioquímica	Ciencias Básicas	0,422222222222222	15,2	0,511627906976744	s/i	3228583	UNIVERSIDAD NACIONAL ANDRES BELLO	UNIVERSIDAD PARTICULAR	UNIVERSIDAD	UNIVERSIDAD PRIVADA	UNIVERSIDAD PRIVADA
1250	CFT de Tarapacá	4 años	Técnico en Administración Pública	Ciencias Sociales	0,3125	7,7	0,657534246575342	s/i	1020000	CFT DE TARAPACA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1251	CFT Lota-Arauco	4 años	Administración Pública	Ciencias Sociales	0,304347826086957	6,0	0,479591836734694	Menor a $400 mil	1037841	CFT LOTA-ARAUCO	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1254	Universidad Técnica Federico Santa María	5 años	Técnico Universitario en Control de Alimentos	Tecnología	0,457142857142857	10,6	0,642105263157895	De $400 mil a $600 mil	1550000	UNIVERSIDAD TECNICA FEDERICO SANTA MARIA	UNIVERSIDAD PARTICULAR CON APORTE	UNIVERSIDAD	UNIVERSIDAD CRUCH	UNIVERSIDADES PARTICULARES CON APORTE
