agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_basica	ive_media	numero_alumnos
2011	22151	LICEO AGRICOLA DE ANCUD	ANCUD	10	Municipal	URBANO	436785336	419	403		86.21553884710001	388
2011	22155	COLEGIO CARPE DIEM	CASTRO	10	Particular Subvencionado	URBANO	315184668	577	605	15.9663865546	16.6666666666	393
2011	22160	MARTIN LUTHER KING COLLEGE	VALDIVIA	14	Particular Subvencionado	URBANO	253686719	507	502	49.7584541062	55.1401869158	338
2011	22191	COLEGIO EMPRENDER OSORNO	OSORNO	10	Particular Subvencionado	URBANO	1126611904	477	454	67.3944687045	69.4339622641	1307
2011	22192	COLEGIO CATOLICO BEATO FEDERICO OZANAZ	PUERTO MONTT	10	Particular Subvencionado	URBANO	910863820	492	483	72.33727810649999	66.9811320754	1062
2011	22195	COLEGIO CRISTIANO BETESDA	PUERTO MONTT	10	Particular Subvencionado	URBANO	299514541	583	498	88.1019830028		462
2011	22196	COLEGIO QUELLON	QUELLÓN	10	Particular Subvencionado	URBANO	228187914	526	555	56.9343065693	64.5161290322	224
2011	22200	INSTITUTO DEL PACIFICO	PUERTO MONTT	10	Particular Subvencionado	URBANO	406813509	474	494	53.5087719298	60.4444444444	517
2011	22210	CENTRO EDUCACIONAL SAN ANDRES	ANCUD	10	Particular Subvencionado	URBANO	308746787	575	575	27.4336283185	25.6637168141	379
2011	22211	COLEGIO CAHUALA INSULAR	CASTRO	10	Particular Subvencionado	URBANO	341894985	592	579	18.2539682539	17.094017094	416
2011	22224	COLEGIO PROYECCION SIGLO XXI	OSORNO	10	Particular Subvencionado	URBANO	195367737	534	580	51.923076923	56.1403508771	264
2011	22230	COLEGIO JUAN XXIII	OSORNO	10	Particular Subvencionado	URBANO	307542200	429	403	83.984375		401
2011	22231	COLEGIO DOMUS MATER	VALDIVIA	14	Particular Subvencionado	URBANO	269573102	568	587	26.4984227129	36.2962962962	461
2011	22234	COLEGIO SAN VICENTE DE PAUL	PUERTO OCTAY	10	Particular Subvencionado	URBANO	413019389	436	474	76.5734265734	73.4848484848	467
2011	22236	BLAS PASCAL SCHOOL	OSORNO	10	Particular Subvencionado	URBANO	320265034	559	569	49.0084985835	56.5789473684	506
2011	22265	GREEN COUNTRY SCHOOL	OSORNO	10	Particular Subvencionado	URBANO	226517597	327	344	71.07142857140001		274
2011	22270	COLEGIO DE NINAS NUESTRA SENORA DE LOURDES	OSORNO	10	Particular Subvencionado	URBANO	214751249	414	378		84.32432432429999	297
2011	22271	LICEO TECNICO LUIS PASTEUR	OSORNO	10	Particular Subvencionado	URBANO	287480053	468	460		82.8859060402	331
2011	22286	COLEGIO LOS TORREONES	VALDIVIA	14	Particular Subvencionado	URBANO	53495158	519	529	75	68	62
2011	22306	COLEGIO PUERTO MONTT	PUERTO MONTT	10	Particular Subvencionado	URBANO	162324131	485	492	45.7831325301	49.0291262135	345
2011	22309	COLEGIO INGLÉS MABEL CONDEMARÍN	LOS MUERMOS	10	Municipal	URBANO	458354777	452	407	89.4197952218	94.48275862059999	576
2011	22313	COLEGIO CARDENAL RAUL SILVA HENRIQUEZ	PAILLACO	14	Particular Subvencionado	URBANO	359019978	439	435	84.89795918359999	83.4437086092	425
2011	22322	FAYOL SCHOOL	PURRANQUE	10	Particular Subvencionado	URBANO	346765562	426	408	80	78.16901408450001	375
2011	22329	LICEO TECNICO PROFESIONAL INMACULADA CONCEPCI	ANCUD	10	Particular Subvencionado	URBANO	530877321	447	388		76.923076923	361
2011	22330	CENTRO EDUCACIONAL SAN AGUSTIN	QUELLÓN	10	Particular Subvencionado	URBANO	254344534	609	598	41.0714285714	53.3980582524	265
2011	22351	INSTITUTO INMACULADA CONCEPCION	VALDIVIA	14	Particular Subvencionado	URBANO	619412476	612	606	32.332155477	28.5714285714	938
2011	22354	ESCUELA EL MAITEN	LA UNIÓN	14	Municipal	URBANO	451345841	364	367	89.70588235290001		508
2011	22358	COLEGIO INGLES	PURRANQUE	10	Particular Subvencionado	URBANO	348743391	426	441	73.5632183908	74.2857142857	431
2011	22361	COLEGIO PARTICULAR ANTARES DE ALERCE	PUERTO MONTT	10	Particular Subvencionado	URBANO	306571329	406	383	71.6911764705		404
2011	22372	COMPLEJO EDUCACIONAL SAN CRESCENTE	CASTRO	10	Particular Subvencionado	RURAL	361818269	521	523	24.6376811594	37.7049180327	409
2011	22374	INSTITUTO TECNOLOGICO DEL SUR	VALDIVIA	14	Particular Subvencionado	URBANO	459151425	386	370	90.5882352941	83.105022831	435
2011	22397	COL.TEC.PROF.STA.TERESA DE LOS ANDES	OSORNO	10	Particular Subvencionado	URBANO	453906895	393	379		89.54423592489999	853
2011	22398	COLEGIO ALIWEN	VALDIVIA	14	Particular Subvencionado	URBANO	109866366	492	469	51.1904761904	37.7777777777	162
2011	22410	COLEGIO CREACION OSORNO	OSORNO	10	Particular Subvencionado	URBANO	621860486	565	582	46.6403162055	56.1151079136	948
