agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_media
2011	14568	COLEGIO CRISTO REY SALVADOR	SAN ANTONIO	5	Particular Subvencionado	URBANO	289432263	476	467	43.2098765432
2011	14576	COLEGIO LOS FUNDADORES DE QUILPUE	QUILPUÉ	5	Particular Subvencionado	URBANO	402887880	517	502	51.282051282
2011	14580	COLEGIO BOSTON	VILLA ALEMANA	5	Particular Subvencionado	URBANO	222075457	460	464	63.4782608695
2011	14585	COLEGIO BUCKINGHAM	VILLA ALEMANA	5	Particular Subvencionado	URBANO	181422542	537	532	53.5353535353
2011	14594	COLEGIO QUILLOTA TERRANOVA	QUILLOTA	5	Particular Subvencionado	URBANO	208548871	542	542	68.3333333333
2011	14599	COLEGIO POETA DANIEL DE LA VEGA	QUILPUÉ	5	Particular Subvencionado	URBANO	153489712	501	504	57.9439252336
2011	14605	COLEGIO VILLA ACONCAGUA	CONCÓN	5	Particular Subvencionado	URBANO	752494832	493	508	63.973063973
2011	14606	COLEGIO PUERTO PAZ	VALPARAÍSO	5	Particular Subvencionado	URBANO	94453981	469	454	60
2011	14608	COLEGIO JUANITA FERNANDEZ	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	499024227	506	512	54.5
2011	14614	COLEGIO VEDRUNA	SAN FELIPE	5	Particular Subvencionado	URBANO	296839610	603	581	47.4137931034
2011	14622	COLEGIO SAN AGUSTIN	VILLA ALEMANA	5	Particular Subvencionado	URBANO	187826908	449	442	66.1157024793
2011	14626	COLEGIO ARAUCARIAS	SAN ANTONIO	5	Particular Subvencionado	URBANO	131285273	418	453	57.8431372549
2011	14629	COLEGIO CASTELIANO	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	635609041	490	505	47.5609756097
2011	14641	COLEGIO  PAULA  VIVANCO	LIMACHE	5	Particular Subvencionado	URBANO	397758117	459	459	56.1538461538
2011	14642	COLEGIO CRISTIANO EMBAJADORES DEL REY	QUILPUÉ	5	Particular Subvencionado	URBANO	240822074	455	458	67.213114754
2011	14643	CASABLANCA BILINGUAL SCHOOL	CASABLANCA	5	Particular Subvencionado	URBANO	175916113	490	486	59.0163934426
2011	14670	COLEGIO SAN SEBASTIAN	LOS ANDES	5	Particular Subvencionado	URBANO	400566288	544	559	33.725490196
2011	14671	COLEGIO TIERRA DEL FUEGO	QUILLOTA	5	Particular Subvencionado	URBANO	724827507	490	493	59.3155893536
2011	14673	COLEGIO NUEVA ERA SIGLO XXI  QUILLOTA	QUILLOTA	5	Particular Subvencionado	URBANO	269156817	483	472	57.6086956521
2011	14674	COLEGIO NUEVO MILENIO	VILLA ALEMANA	5	Particular Subvencionado	URBANO	541784326	503	482	51.0714285714
2011	14675	COLEGIO SAN SEBASTIAN DE AKIVI	ISLA DE PASCUA	5	Particular Subvencionado	URBANO	465179327	479	469	77.1929824561
2011	14677	COLEGIO CAPITAN ARTURO PRAT CHACON	QUILPUÉ	5	Particular Subvencionado	URBANO	175660811	484	454	70
2011	14687	COLEGIO GEA	QUILPUÉ	5	Particular Subvencionado	URBANO	168143635	481	474	59.7222222222
2011	14697	COLEGIO CORDILLERA	SAN FELIPE	5	Municipal	URBANO	571158357	487	480	63.5714285714
2011	14699	COLEGIO FENIX	SAN ANTONIO	5	Particular Subvencionado	URBANO	347618370	484	482	32.3529411764
