agno	rbd	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento
2011	508	ALTO DEL CARMEN	3	Municipal	RURAL	24102954
2011	509	ALTO DEL CARMEN	3	Municipal	RURAL	32030907
2011	514	ALTO DEL CARMEN	3	Municipal	RURAL	24920490
2011	516	LA SERENA	4	Municipal	URBANO	420921247
2011	517	LA SERENA	4	Municipal	URBANO	424110136
2011	518	LA SERENA	4	Municipal	URBANO	397669809
2011	519	LA SERENA	4	Municipal	URBANO	795783812
2011	520	LA SERENA	4	Municipal	URBANO	22326474
2011	521	LA SERENA	4	Municipal	URBANO	275706532
2011	522	LA SERENA	4	Municipal	URBANO	559681438
2011	523	LA SERENA	4	Municipal	URBANO	350632461
2011	525	LA SERENA	4	Municipal	URBANO	411504864
2011	526	LA SERENA	4	Municipal	URBANO	412704134
2011	527	LA SERENA	4	Municipal	URBANO	384792699
2011	528	LA SERENA	4	Municipal	URBANO	256527808
2011	529	LA SERENA	4	Municipal	URBANO	214152101
2011	530	LA SERENA	4	Municipal	URBANO	645102729
2011	531	LA SERENA	4	Municipal	URBANO	249369822
2011	532	LA SERENA	4	Municipal	URBANO	110550223
2011	533	LA SERENA	4	Municipal	URBANO	135329725
2011	534	LA SERENA	4	Municipal	URBANO	382229025
2011	535	LA SERENA	4	Municipal	URBANO	336644790
2011	536	LA SERENA	4	Municipal	URBANO	215913326
2011	537	LA SERENA	4	Municipal	URBANO	118535611
2011	539	LA SERENA	4	Municipal	RURAL	128859537
2011	540	LA SERENA	4	Municipal	RURAL	111273592
2011	542	LA SERENA	4	Municipal	RURAL	138930340
2011	543	LA SERENA	4	Municipal	RURAL	146582814
2011	544	LA SERENA	4	Municipal	RURAL	79884248
2011	546	LA SERENA	4	Municipal	RURAL	139952801
2011	548	LA SERENA	4	Municipal	URBANO	105994460
2011	549	LA SERENA	4	Municipal	RURAL	23417507
2011	550	LA SERENA	4	Municipal	RURAL	21519452
2011	551	LA SERENA	4	Municipal	RURAL	131091565
2011	552	LA SERENA	4	Municipal	RURAL	7425240
2011	553	LA SERENA	4	Municipal	RURAL	1813426
2011	554	LA SERENA	4	Municipal	RURAL	32672357
2011	556	LA SERENA	4	Municipal	RURAL	131584854
2011	557	LA SERENA	4	Municipal	RURAL	176935005
2011	558	LA SERENA	4	Municipal	RURAL	21435730
2011	560	LA SERENA	4	Municipal	RURAL	117757594
2011	561	LA SERENA	4	Municipal	RURAL	26489442
2011	562	LA SERENA	4	Municipal	RURAL	106110610
2011	563	LA SERENA	4	Municipal	RURAL	19875510
2011	564	LA SERENA	4	Municipal	RURAL	29178614
2011	565	LA SERENA	4	Particular Subvencionado	RURAL	725275531
2011	566	LA SERENA	4	Particular Subvencionado	URBANO	338640290
2011	567	LA SERENA	4	Particular Subvencionado	URBANO	790833545
2011	568	LA SERENA	4	Particular Subvencionado	URBANO	367854919
2011	570	LA SERENA	4	Particular Subvencionado	URBANO	352604804
